id,start_time,end_time,description,location
110,2023-08-09 10:40:00,2023-08-09 12:10:00,"Русский язык как иностранный A2-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 221"
652,2023-08-29 09:00:00,2023-08-29 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
653,2023-08-29 10:40:00,2023-08-29 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
654,2023-08-31 09:00:00,2023-08-31 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
655,2023-08-31 10:40:00,2023-08-31 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
937,2023-08-24 10:00:00,2023-08-24 11:30:00,"Учебная практика (ознакомительная). Музейно-археологическая, сам. работа в присутствии преподавателя","0, д. 0, по местам проведения"
1183,2023-08-16 09:00:00,2023-08-16 10:30:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 313"
1184,2023-08-16 10:40:00,2023-08-16 12:10:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 314"
1185,2023-08-17 09:00:00,2023-08-17 10:30:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 313"
1186,2023-08-17 10:40:00,2023-08-17 12:10:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 313"
1187,2023-08-18 09:00:00,2023-08-18 10:30:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 313"
1188,2023-08-18 10:40:00,2023-08-18 12:10:00,"Русский язык как иностранный B1-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 313"
1189,2023-08-28 09:30:00,2023-08-28 17:00:00,"Организационное поведение и управление человеческими ресурсами, лекция","Волховский переулок, д. 3, лит. А,403"
1190,2023-08-29 09:30:00,2023-08-29 17:00:00,"Организационное поведение и управление человеческими ресурсами, лекция","Волховский переулок, д. 3, лит. А,403"
1191,2023-08-30 09:30:00,2023-08-30 12:45:00,"Организационное поведение и управление человеческими ресурсами, лекция","Волховский переулок, д. 3, лит. А,403"
1192,2023-09-01 13:45:00,2023-09-01 15:15:00,"Итоговый групповой аттестационный проект, консультация групповая","Волховский переулок, д. 3, лит. А,403"
657,2023-08-10 10:00:00,2023-08-10 12:00:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
658,2023-08-11 10:00:00,2023-08-11 12:00:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
659,2023-08-12 10:00:00,2023-08-12 12:00:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
660,2023-08-14 10:00:00,2023-08-14 12:00:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
661,2023-08-15 10:00:00,2023-08-15 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
662,2023-08-16 10:00:00,2023-08-16 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
663,2023-08-17 10:00:00,2023-08-17 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
664,2023-08-18 10:00:00,2023-08-18 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
665,2023-08-19 10:00:00,2023-08-19 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
666,2023-08-21 10:00:00,2023-08-21 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
667,2023-08-22 10:00:00,2023-08-22 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
668,2023-08-23 10:00:00,2023-08-23 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
669,2023-08-24 10:00:00,2023-08-24 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
670,2023-08-25 10:00:00,2023-08-25 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
671,2023-08-26 10:00:00,2023-08-26 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
672,2023-08-28 10:00:00,2023-08-28 11:30:00,"Учебная практика (ознакомительная). Полевая этнографическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
673,2023-08-10 09:00:00,2023-08-10 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
674,2023-08-10 10:40:00,2023-08-10 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
675,2023-08-14 09:00:00,2023-08-14 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
676,2023-08-14 10:40:00,2023-08-14 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
677,2023-08-17 09:00:00,2023-08-17 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
678,2023-08-17 10:40:00,2023-08-17 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
679,2023-08-21 09:00:00,2023-08-21 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
680,2023-08-21 10:40:00,2023-08-21 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
681,2023-08-24 09:00:00,2023-08-24 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
682,2023-08-24 10:40:00,2023-08-24 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
683,2023-08-28 09:00:00,2023-08-28 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
684,2023-08-28 10:40:00,2023-08-28 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
685,2023-08-31 09:00:00,2023-08-31 10:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
145,2023-08-09 12:20:00,2023-08-09 13:50:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
146,2023-08-09 14:00:00,2023-08-09 15:30:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
686,2023-08-31 10:40:00,2023-08-31 12:10:00,"Русский язык как иностранный A1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 401"
945,2023-08-21 09:00:00,2023-08-21 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
946,2023-08-21 10:40:00,2023-08-21 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
947,2023-08-23 09:00:00,2023-08-23 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
948,2023-08-23 10:40:00,2023-08-23 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
949,2023-08-28 09:00:00,2023-08-28 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
950,2023-08-28 10:40:00,2023-08-28 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
951,2023-08-30 09:00:00,2023-08-30 10:30:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
952,2023-08-30 10:40:00,2023-08-30 12:10:00,"Русский язык как иностранный B1-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
687,2023-09-05 19:00:00,2023-09-05 20:30:00,"Основы финансовой грамотности (онлайн-курс), зачёт (пересдача)",С использованием информационно-коммуникационных технологий
953,2023-08-28 10:00:00,2023-08-28 12:15:00,"Перкутанная нефролитотрипсия, семинар","набережная реки Фонтанки, д. 154, лит. А, 447"
954,2023-08-28 13:00:00,2023-08-28 13:45:00,"Перкутанная нефролитотрипсия, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
955,2023-08-29 11:00:00,2023-08-29 12:30:00,"Перкутанная нефролитотрипсия, практическое занятие","набережная реки Фонтанки, д. 154, лит. А, 447"
690,2023-08-10 18:45:00,2023-08-10 21:45:00,"Налогообложение юридических и физических лиц, лекция","Смольный проезд, д. 1, лит. Б, пом. 1-Н, 25-Н, 30-Н, 31-Н, 32-Н, Л-15 (подъезд №9),242"
956,2023-08-30 10:00:00,2023-08-30 11:00:00,"ГИА, защита выпускной работы (апелляционная комиссия)","10-я линия В.О., д. 31-33, лит. A,56"
961,2023-08-10 10:00:00,2023-08-10 11:00:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
962,2023-08-10 10:00:00,2023-08-10 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
964,2023-08-10 10:00:00,2023-08-10 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
965,2023-08-11 10:00:00,2023-08-11 11:00:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
966,2023-08-11 10:00:00,2023-08-11 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
968,2023-08-11 10:00:00,2023-08-11 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
969,2023-08-12 10:00:00,2023-08-12 11:00:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
970,2023-08-12 10:00:00,2023-08-12 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
972,2023-08-12 10:00:00,2023-08-12 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
973,2023-08-14 10:00:00,2023-08-14 11:00:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
974,2023-08-14 10:00:00,2023-08-14 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
976,2023-08-14 10:00:00,2023-08-14 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
977,2023-08-15 10:00:00,2023-08-15 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
978,2023-08-15 10:00:00,2023-08-15 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
980,2023-08-15 10:00:00,2023-08-15 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
981,2023-08-16 10:00:00,2023-08-16 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
982,2023-08-16 10:00:00,2023-08-16 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
984,2023-08-16 10:00:00,2023-08-16 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
985,2023-08-17 10:00:00,2023-08-17 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
986,2023-08-17 10:00:00,2023-08-17 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
706,2023-08-10 09:00:00,2023-08-10 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
707,2023-08-10 10:40:00,2023-08-10 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
708,2023-08-11 09:00:00,2023-08-11 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
709,2023-08-11 10:40:00,2023-08-11 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
710,2023-08-17 09:00:00,2023-08-17 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
711,2023-08-17 10:40:00,2023-08-17 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
191,2023-08-09 11:45:00,2023-08-09 14:45:00,"Реконструктивная урогинекология, практическое занятие","набережная реки Фонтанки, д. 154, лит. А, 447"
712,2023-08-18 09:00:00,2023-08-18 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
713,2023-08-18 10:40:00,2023-08-18 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
714,2023-08-24 09:00:00,2023-08-24 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
715,2023-08-24 10:40:00,2023-08-24 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
716,2023-08-25 09:00:00,2023-08-25 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
717,2023-08-25 10:40:00,2023-08-25 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
718,2023-08-31 09:00:00,2023-08-31 10:30:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
199,2023-08-09 09:00:00,2023-08-09 10:15:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 406"
200,2023-08-09 10:30:00,2023-08-09 11:30:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 408"
201,2023-08-09 12:20:00,2023-08-09 13:50:00,"Русский язык как иностранный A2-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
202,2023-08-09 14:00:00,2023-08-09 15:30:00,"Русский язык как иностранный A2-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 407"
719,2023-08-31 10:40:00,2023-08-31 12:10:00,"Русский язык как иностранный B1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 402"
988,2023-08-17 10:00:00,2023-08-17 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
989,2023-08-18 10:00:00,2023-08-18 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
990,2023-08-18 10:00:00,2023-08-18 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
992,2023-08-18 10:00:00,2023-08-18 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
993,2023-08-19 10:00:00,2023-08-19 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
994,2023-08-19 10:00:00,2023-08-19 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
996,2023-08-19 10:00:00,2023-08-19 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
997,2023-08-21 10:00:00,2023-08-21 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
998,2023-08-21 10:00:00,2023-08-21 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1000,2023-08-21 10:00:00,2023-08-21 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
720,2023-08-28 14:00:00,2023-08-28 15:30:00,"Перкутанная нефролитотрипсия, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
721,2023-08-29 09:00:00,2023-08-29 10:30:00,"Перкутанная нефролитотрипсия, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
763,2023-09-04 19:00:00,2023-09-04 20:30:00,"Основы педагогической деятельности (онлайн-курс), зачёт (пересдача)",С использованием информационно-коммуникационных технологий
1001,2023-08-22 10:00:00,2023-08-22 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1002,2023-08-22 10:00:00,2023-08-22 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1004,2023-08-22 10:00:00,2023-08-22 11:30:00,"Учебная практика (по получению первичных профессиональных умений и навыков). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1005,2023-08-23 10:00:00,2023-08-23 11:30:00,"Электив. Учебная практика (ознакомительная). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
1006,2023-08-23 10:00:00,2023-08-23 11:30:00,"Учебная практика (научно-исследовательская работа). Археологическая, сам. работа в присутствии преподавателя","<по месту проведения практики>,<по месту проведения практики>"
